"","exclusive_genes_neo_high"
"1","SSU72"
"2","GNB1"
"3","RER1"
"4","PLOD1"
"5","DHRS3"
"6","ECE1"
"7","HSPG2"
"8","HNRNPR"
"9","SRRM1"
"10","TMEM50A"
"11","STMN1"
"12","WASF2"
"13","DNAJC8"
"14","KHDRBS1"
"15","MARCKSL1"
"16","SFPQ"
"17","THRAP3"
"18","EVA1B"
"19","MRPS15"
"20","C1orf122"
"21","MACF1"
"22","EBNA1BP2"
"23","TMEM59"
"24","JUN"
"25","JAK1"
"26","SRSF11"
"27","SH3GLB1"
"28","PSMA5"
"29","ATP5PB"
"30","CSDE1"
"31","AC245595.1"
"32","RBM8A"
"33","MLLT11"
"34","PSMB4"
"35","ILF2"
"36","HAX1"
"37","FDPS"
"38","LAMTOR2"
"39","HDGF"
"40","COPA"
"41","MPC2"
"42","LAMC1"
"43","TPR"
"44","PTGS2"
"45","NAV1"
"46","TIMM17A"
"47","NENF"
"48","EPRS"
"49","CAPN2"
"50","ENAH"
"51","SRP9"
"52","COX20"
"53","ACP1"
"54","PXDN"
"55","ITGB1BP1"
"56","LAPTM4A"
"57","HADHA"
"58","EMILIN1"
"59","PPM1G"
"60","SRSF7"
"61","EPAS1"
"62","CCT4"
"63","RAB1A"
"64","ACTR2"
"65","CCT7"
"66","TGOLN2"
"67","RNF181"
"68","EIF5B"
"69","MIR4435-2HG"
"70","MZT2A"
"71","UBXN4"
"72","PRPF40A"
"73","SSB"
"74","ZC3H15"
"75","ITGAV"
"76","TFPI"
"77","COL3A1"
"78","COL5A2"
"79","SUMO1"
"80","NBEAL1"
"81","NRP2"
"82","PSMD1"
"83","EIF4E2"
"84","COL6A3"
"85","LRRFIP1"
"86","SEPT2"
"87","SEC13"
"88","LSM3"
"89","GOLGA4"
"90","MAP4"
"91","NDUFAF3"
"92","MANF"
"93","NT5DC2"
"94","FLNB"
"95","ARL6IP5"
"96","FOXP1"
"97","SEC61A1"
"98","RAB7A"
"99","CNBP"
"100","COPB2"
"101","ZBTB38"
"102","SEC62"
"103","FNDC3B"
"104","EIF4G1"
"105","C4orf48"
"106","MXD4"
"107","FAM114A1"
"108","OCIAD2"
"109","TMEM165"
"110","SRP72"
"111","HNRNPD"
"112","SEC31A"
"113","ADH5"
"114","FGF2"
"115","PALLD"
"116","SPCS3"
"117","PDLIM3"
"118","PDCD6"
"119","MRPL36"
"120","RAI14"
"121","NDUFS4"
"122","PLK2"
"123","NSA2"
"124","TMEM167A"
"125","REEP5"
"126","LOX"
"127","P4HA2"
"128","SPOCK1"
"129","HSPA9"
"130","CTNNA1"
"131","UBE2D2"
"132","SRA1"
"133","NDUFA2"
"134","YIPF5"
"135","DPYSL3"
"136","CSNK1A1"
"137","TNIP1"
"138","ANXA6"
"139","PTTG1"
"140","STC2"
"141","HIGD2A"
"142","LMAN2"
"143","DBN1"
"144","PDLIM7"
"145","MGAT4B"
"146","TUBB2A"
"147","SSR1"
"148","TMEM14C"
"149","NOL7"
"150","SOX4"
"151","HLA-B"
"152","CSNK2B"
"153","UQCC2"
"154","CDKN1A"
"155","DNPH1"
"156","VEGFA"
"157","MRPL14"
"158","DST"
"159","SYNCRIP"
"160","CD164"
"161","GTF3C6"
"162","RWDD1"
"163","GJA1"
"164","GTF2H5"
"165","TCP1"
"166","FSCN1"
"167","CBX3"
"168","TAX1BP1"
"169","GARS"
"170","INHBA"
"171","H2AFV"
"172","PDAP1"
"173","BUD31"
"174","COPS6"
"175","LAMTOR4"
"176","AP1S1"
"177","ZNHIT1"
"178","POLR2J"
"179","LAMB1"
"180","AKR1B1"
"181","ZYX"
"182","PDIA4"
"183","RHEB"
"184","EIF1AX"
"185","ATP6AP2"
"186","DDX3X"
"187","UXT"
"188","MAGED1"
"189","MAGED2"
"190","NBDY"
"191","XIST"
"192","TCEAL9"
"193","TCEAL4"
"194","NDUFA1"
"195","RTL8C"
"196","BCAP31"
"197","NAA10"
"198","FAM50A"
"199","LOXL2"
"200","BNIP3L"
"201","ADAM9"
"202","CEBPD"
"203","PRKDC"
"204","TRAM1"
"205","C8orf59"
"206","ZNF706"
"207","ENY2"
"208","NDUFB9"
"209","CYC1"
"210","VPS28"
"211","DNAJA1"
"212","DCTN3"
"213","VCP"
"214","STOML2"
"215","ATP6V1G1"
"216","C9orf16"
"217","SURF4"
"218","COL5A1"
"219","PSMD13"
"220","HRAS"
"221","TSPAN4"
"222","CTSD"
"223","TAF10"
"224","MTRNR2L8"
"225","MICAL2"
"226","PSMA1"
"227","NUCB2"
"228","RCN1"
"229","EIF3M"
"230","PSMC3"
"231","TMEM132A"
"232","UBXN1"
"233","SLC3A2"
"234","FKBP2"
"235","RNASEH2C"
"236","FIBP"
"237","SF3B2"
"238","YIF1A"
"239","PPP1CA"
"240","NDUFS8"
"241","CTTN"
"242","COA4"
"243","SPCS2"
"244","RDX"
"245","TIMM8B"
"246","EI24"
"247","PFKP"
"248","GDI2"
"249","ATP5F1C"
"250","OPTN"
"251","DDX21"
"252","PPA1"
"253","DDIT4"
"254","MRPS16"
"255","CHCHD1"
"256","VCL"
"257","GHITM"
"258","PDLIM1"
"259","MRPL43"
"260","MLF2"
"261","C12orf57"
"262","PHB2"
"263","H2AFJ"
"264","ARHGDIB"
"265","STRAP"
"266","BCAT1"
"267","LIMA1"
"268","EIF4B"
"269","PCBP2"
"270","COPZ1"
"271","ITGA5"
"272","BLOC1S1"
"273","PA2G4"
"274","CNPY2"
"275","NDUFA12"
"276","IKBIP"
"277","VPS29"
"278","ERP29"
"279","MLEC"
"280","MRPL57"
"281","GTF3A"
"282","POLR1D"
"283","POSTN"
"284","DNAJC15"
"285","ESD"
"286","COL4A1"
"287","COL4A2"
"288","PSME2"
"289","SNX6"
"290","FAM177A1"
"291","FKBP3"
"292","FERMT2"
"293","PSMA3"
"294","ZFP36L1"
"295","SRSF5"
"296","TMED10"
"297","PSMC1"
"298","DDX24"
"299","MEG3"
"300","SIVA1"
"301","CRIP2"
"302","DUT"
"303","FBN1"
"304","GTF2A2"
"305","LARP6"
"306","PSMA4"
"307","TMED3"
"308","CIB1"
"309","IQGAP1"
"310","SELENOS"
"311","MPG"
"312","METTL26"
"313","STUB1"
"314","METRN"
"315","UBE2I"
"316","MRPS34"
"317","IL32"
"318","RSL1D1"
"319","GSPT1"
"320","NDUFAB1"
"321","TUFM"
"322","FUS"
"323","TGFB1I1"
"324","FAM96B"
"325","PSMD7"
"326","GABARAPL2"
"327","MAP1LC3B"
"328","TRAPPC2L"
"329","ANKRD11"
"330","TCF25"
"331","EMC6"
"332","MYH10"
"333","RAB34"
"334","FKBP10"
"335","RAB5C"
"336","VAT1"
"337","SNF8"
"338","LRRC59"
"339","SKA2"
"340","CLTC"
"341","VMP1"
"342","PSMC5"
"343","ATP5PD"
"344","SPHK1"
"345","MXRA7"
"346","SRSF2"
"347","MRPL12"
"348","SLC16A3"
"349","CDH2"
"350","TXNL1"
"351","TXNL4A"
"352","TMEM230"
"353","SNRPB2"
"354","HM13"
"355","EIF6"
"356","RBM39"
"357","SCAND1"
"358","RPN2"
"359","CTSZ"
"360","ADRM1"
"361","CNN2"
"362","POLR2E"
"363","CIRBP"
"364","LSM7"
"365","AES"
"366","NFIC"
"367","MAP2K2"
"368","C19orf70"
"369","ALKBH7"
"370","HNRNPM"
"371","CDC37"
"372","WDR83OS"
"373","PRDX2"
"374","IER2"
"375","PGLS"
"376","JUND"
"377","LSM4"
"378","REX1BD"
"379","NDUFA13"
"380","UQCRFS1"
"381","TMEM147"
"382","TBCB"
"383","CAPNS1"
"384","MRPS12"
"385","BLVRB"
"386","VASP"
"387","PRMT1"
"388","ETFB"
"389","ISOC2"
"390","CHMP2A"
"391","UBE2M"
"392","MRPL40"
"393","UFD1"
"394","SDF2L1"
"395","CHCHD10"
"396","SNRPD3"
"397","EIF3D"
"398","POLR2F"
"399","DDX17"
"400","ATF4"
"401","RPS19BP1"
"402","XRCC6"
"403","NDUFA6"
"404","CYB5R3"
"405","AP001439.1"
"406","MAP3K7CL"
"407","DONSON"
"408","TTC3-AS1"
"409","PDXK"
